stock,num_clusters,cluster,mse,rmse,mae,qlike,model
stock 30,2,cluster 2,6.58E-07,0.000811399,0.000599872,0.077797169,HAR-RV
stock 31,2,cluster 1,1.48E-06,0.001217743,0.000837508,3.950586081,HAR-RV
stock 32,2,cluster 1,2.41E-07,0.000490677,0.000351828,0.0753311,HAR-RV
stock 33,2,cluster 1,8.34E-07,0.000913383,0.000695299,0.096654648,HAR-RV
stock 34,2,cluster 1,4.27E-07,0.000653218,0.000545309,0.715458741,HAR-RV
stock 35,2,cluster 2,4.24E-07,0.000650976,0.000439004,0.194100499,HAR-RV
stock 36,2,cluster 2,2.88E-07,0.00053646,0.00038929,0.064972587,HAR-RV
stock 37,2,cluster 2,1.16E-06,0.001077658,0.000844382,2.717118163,HAR-RV
stock 38,2,cluster 1,6.97E-07,0.000835154,0.00061362,0.121091838,HAR-RV
stock 39,2,cluster 1,3.74E-07,0.000611919,0.000407639,0.073413121,HAR-RV
stock 4,2,cluster 1,4.55E-07,0.000674249,0.000516497,0.111427627,HAR-RV
stock 40,2,cluster 2,1.02E-06,0.001010689,0.000787939,0.744787841,HAR-RV
stock 41,2,cluster 2,3.58E-07,0.000598007,0.000418919,2.343612865,HAR-RV
stock 42,2,cluster 2,3.15E-07,0.000560897,0.000437343,0.062113231,HAR-RV
stock 43,2,cluster 2,9.55E-08,0.000308955,0.000213862,0.033836254,HAR-RV
stock 44,2,cluster 2,5.14E-07,0.000716875,0.000505109,0.260751011,HAR-RV
stock 46,2,cluster 2,1.75E-07,0.000417861,0.000255348,0.071747108,HAR-RV
stock 47,2,cluster 1,1.79E-07,0.00042349,0.000307922,0.1020834,HAR-RV
stock 48,2,cluster 2,3.48E-07,0.000589963,0.000437296,0.104283179,HAR-RV
stock 5,2,cluster 1,8.69E-07,0.000932246,0.000706713,0.158395129,HAR-RV
stock 50,2,cluster 1,2.48E-07,0.000497991,0.000355935,0.05653555,HAR-RV
stock 51,2,cluster 2,7.49E-07,0.000865222,0.00043785,0.895076236,HAR-RV
stock 52,2,cluster 2,4.07E-07,0.000638286,0.00048288,0.073289292,HAR-RV
stock 53,2,cluster 2,4.23E-07,0.000650449,0.00045796,0.074594494,HAR-RV
stock 55,2,cluster 1,7.11E-07,0.000843169,0.000647993,1.451404176,HAR-RV
stock 56,2,cluster 1,5.64E-07,0.000750794,0.000565475,0.067543516,HAR-RV
stock 58,2,cluster 1,5.09E-07,0.000713725,0.000515049,0.127283398,HAR-RV
stock 59,2,cluster 2,3.79E-07,0.000615253,0.00044367,0.07255494,HAR-RV
stock 6,2,cluster 2,1.05E-06,0.001022482,0.000729775,0.063415332,HAR-RV
stock 60,2,cluster 2,4.87E-07,0.000697664,0.000531128,2.295547449,HAR-RV
stock 61,2,cluster 2,2.49E-07,0.00049871,0.000382027,0.046168019,HAR-RV
stock 62,2,cluster 2,6.83E-07,0.000826257,0.000545427,0.067726415,HAR-RV
stock 63,2,cluster 2,2.81E-07,0.000529821,0.000386117,0.074037128,HAR-RV
stock 64,2,cluster 2,2.26E-07,0.000475484,0.000306654,0.204359988,HAR-RV
stock 66,2,cluster 2,3.16E-07,0.000562181,0.00044718,0.060832448,HAR-RV
stock 67,2,cluster 1,3.61E-07,0.000600771,0.000404828,0.050024213,HAR-RV
stock 68,2,cluster 2,3.85E-07,0.000620829,0.000441811,0.072780109,HAR-RV
stock 69,2,cluster 2,2.41E-07,0.000490829,0.00034705,0.040802708,HAR-RV
stock 7,2,cluster 1,5.01E-07,0.000707625,0.000566453,0.112025394,HAR-RV
stock 70,2,cluster 1,2.66E-07,0.000515944,0.000371334,0.053266307,HAR-RV
stock 72,2,cluster 1,4.79E-07,0.00069186,0.000482344,0.073881907,HAR-RV
stock 73,2,cluster 1,4.29E-07,0.000655074,0.000473012,0.053350157,HAR-RV
stock 74,2,cluster 2,3.31E-07,0.000575069,0.000390875,1.709627659,HAR-RV
stock 75,2,cluster 1,2.29E-06,0.001514588,0.001188224,1.264852007,HAR-RV
stock 76,2,cluster 2,3.16E-07,0.000562175,0.000413707,0.051311832,HAR-RV
stock 77,2,cluster 1,8.19E-07,0.000905035,0.000538609,6.913337523,HAR-RV
stock 78,2,cluster 2,6.71E-07,0.00081943,0.000582895,0.105223024,HAR-RV
stock 8,2,cluster 1,6.55E-06,0.002558756,0.000927254,4.652577989,HAR-RV
stock 80,2,cluster 2,2.45E-06,0.001566673,0.001108612,0.263664138,HAR-RV
stock 81,2,cluster 1,4.14E-07,0.000643646,0.000514338,0.205708958,HAR-RV
stock 82,2,cluster 2,2.35E-07,0.000484779,0.000360298,0.168402268,HAR-RV
stock 83,2,cluster 1,9.15E-07,0.000956673,0.000659045,0.171202983,HAR-RV
stock 84,2,cluster 2,2.16E-07,0.00046496,0.000325483,0.042531242,HAR-RV
stock 85,2,cluster 2,2.45E-07,0.000494699,0.000324234,0.063196882,HAR-RV
stock 86,2,cluster 2,1.73E-07,0.00041552,0.000283958,0.159689022,HAR-RV
stock 87,2,cluster 1,5.34E-07,0.000730571,0.000517904,0.055073547,HAR-RV
stock 88,2,cluster 1,8.86E-07,0.000941052,0.000697657,0.087766565,HAR-RV
stock 89,2,cluster 2,2.54E-07,0.000503929,0.000378757,0.448147028,HAR-RV
stock 9,2,cluster 2,1.02E-06,0.001007534,0.000661437,3.859908273,HAR-RV
stock 90,2,cluster 1,8.21E-07,0.000906057,0.00068068,0.107928287,HAR-RV
stock 93,2,cluster 1,2.66E-07,0.000516156,0.000335205,0.1140613,HAR-RV
stock 94,2,cluster 1,3.09E-07,0.000556135,0.000386344,0.054573711,HAR-RV
stock 95,2,cluster 2,3.18E-07,0.000564211,0.000400042,0.228438452,HAR-RV
stock 96,2,cluster 1,5.38E-07,0.000733729,0.000532512,0.074348328,HAR-RV
stock 97,2,cluster 1,1.10E-06,0.001046707,0.000819435,0.118225056,HAR-RV
stock 98,2,cluster 1,1.12E-06,0.001058168,0.000774542,4.645706276,HAR-RV
stock 99,2,cluster 1,3.58E-07,0.000598126,0.00045853,2.291780386,HAR-RV
stock 0,3,cluster 1,1.71E-06,0.001305878,0.000748488,2.332745481,HAR-RV
stock 1,3,cluster 3,2.46E-07,0.000495857,0.000351454,0.041962826,HAR-RV
stock 10,3,cluster 3,3.76E-07,0.000613134,0.000437605,0.065619929,HAR-RV
stock 100,3,cluster 3,6.29E-07,0.000792803,0.000561211,0.067935873,HAR-RV
stock 101,3,cluster 1,1.33E-06,0.001152192,0.000572511,0.072827651,HAR-RV
stock 102,3,cluster 1,5.87E-07,0.000766085,0.000557184,0.063238306,HAR-RV
stock 103,3,cluster 2,1.34E-06,0.001156794,0.000885118,1.099855392,HAR-RV
stock 104,3,cluster 3,3.11E-07,0.000557677,0.000401316,1.365603027,HAR-RV
stock 105,3,cluster 3,3.21E-07,0.000566332,0.000377688,0.064446487,HAR-RV
stock 107,3,cluster 2,7.21E-07,0.000849136,0.000570168,2.033138547,HAR-RV
stock 108,3,cluster 3,1.82E-07,0.000426655,0.000300105,0.052329736,HAR-RV
stock 109,3,cluster 3,3.33E-07,0.000576741,0.000406208,0.046031524,HAR-RV
stock 11,3,cluster 3,6.64E-07,0.000815127,0.000588496,0.090142457,HAR-RV
stock 110,3,cluster 1,1.02E-06,0.001012086,0.000718535,0.188174348,HAR-RV
stock 111,3,cluster 1,1.41E-07,0.000375525,0.000263523,0.0567319,HAR-RV
stock 112,3,cluster 3,5.35E-07,0.000731289,0.000537031,0.863869212,HAR-RV
stock 113,3,cluster 1,4.56E-07,0.000675409,0.000493306,0.047616911,HAR-RV
stock 114,3,cluster 2,4.66E-07,0.00068274,0.000476313,0.047679265,HAR-RV
stock 115,3,cluster 2,2.74E-07,0.000523269,0.000370608,0.083033624,HAR-RV
stock 116,3,cluster 2,1.10E-06,0.001047988,0.000760066,4.750747754,HAR-RV
stock 118,3,cluster 1,8.88E-07,0.000942204,0.00070251,0.121078793,HAR-RV
stock 119,3,cluster 2,2.73E-07,0.000522561,0.000394233,0.051491004,HAR-RV
stock 120,3,cluster 1,2.17E-07,0.000465571,0.000322844,0.055420471,HAR-RV
stock 122,3,cluster 2,4.81E-07,0.00069348,0.000478055,0.071578891,HAR-RV
stock 123,3,cluster 3,2.10E-07,0.000458309,0.000339697,0.087614749,HAR-RV
stock 124,3,cluster 3,3.29E-07,0.000573874,0.000410177,0.054760155,HAR-RV
stock 125,3,cluster 2,5.33E-07,0.000729925,0.000425014,0.166751052,HAR-RV
stock 126,3,cluster 3,5.72E-07,0.000756121,0.000557851,0.069249673,HAR-RV
stock 13,3,cluster 1,2.35E-07,0.000484464,0.000336917,0.13708644,HAR-RV
stock 14,3,cluster 3,3.83E-07,0.000618791,0.000416435,0.066285059,HAR-RV
stock 15,3,cluster 1,5.28E-07,0.000726469,0.00049282,0.072018082,HAR-RV
stock 16,3,cluster 2,5.55E-07,0.000744865,0.000509729,0.064392133,HAR-RV
stock 17,3,cluster 3,8.95E-07,0.000946251,0.000640369,0.067130235,HAR-RV
stock 18,3,cluster 3,3.02E-06,0.001738221,0.001354961,4.746321274,HAR-RV
stock 19,3,cluster 3,3.27E-07,0.000571735,0.00042098,0.751966373,HAR-RV
stock 2,3,cluster 1,3.07E-07,0.000554466,0.000391647,0.11505455,HAR-RV
stock 20,3,cluster 3,3.35E-07,0.000578906,0.000434682,1.83535905,HAR-RV
stock 21,3,cluster 3,1.77E-07,0.000420692,0.000320799,0.386878259,HAR-RV
stock 22,3,cluster 3,8.69E-07,0.000931965,0.000681697,0.117264113,HAR-RV
stock 23,3,cluster 1,1.23E-06,0.001109214,0.000709588,5.436497487,HAR-RV
stock 26,3,cluster 1,4.57E-07,0.000676017,0.000463932,0.069445093,HAR-RV
stock 27,3,cluster 2,1.24E-06,0.001113694,0.000760522,0.145527431,HAR-RV
stock 28,3,cluster 3,3.96E-07,0.000628906,0.000437614,0.072672367,HAR-RV
stock 29,3,cluster 2,2.17E-07,0.000465296,0.000307044,1.081485701,HAR-RV
stock 3,3,cluster 2,1.36E-06,0.001167898,0.000841833,8.693171476,HAR-RV
stock 30,3,cluster 2,6.58E-07,0.000811399,0.000599872,0.077797169,HAR-RV
stock 31,3,cluster 2,1.48E-06,0.001217743,0.000837508,3.950586081,HAR-RV
stock 32,3,cluster 1,2.41E-07,0.000490677,0.000351828,0.0753311,HAR-RV
stock 33,3,cluster 2,8.34E-07,0.000913383,0.000695299,0.096654648,HAR-RV
stock 34,3,cluster 1,4.27E-07,0.000653218,0.000545309,0.715458741,HAR-RV
stock 35,3,cluster 3,4.24E-07,0.000650976,0.000439004,0.194100499,HAR-RV
stock 36,3,cluster 3,2.88E-07,0.00053646,0.00038929,0.064972587,HAR-RV
stock 37,3,cluster 3,1.16E-06,0.001077658,0.000844382,2.717118163,HAR-RV
stock 38,3,cluster 1,6.97E-07,0.000835154,0.00061362,0.121091838,HAR-RV
stock 39,3,cluster 1,3.74E-07,0.000611919,0.000407639,0.073413121,HAR-RV
stock 4,3,cluster 2,4.55E-07,0.000674249,0.000516497,0.111427627,HAR-RV
stock 40,3,cluster 3,1.02E-06,0.001010689,0.000787939,0.744787841,HAR-RV
stock 41,3,cluster 3,3.58E-07,0.000598007,0.000418919,2.343612865,HAR-RV
stock 42,3,cluster 3,3.15E-07,0.000560897,0.000437343,0.062113231,HAR-RV
stock 43,3,cluster 3,9.55E-08,0.000308955,0.000213862,0.033836254,HAR-RV
stock 44,3,cluster 3,5.14E-07,0.000716875,0.000505109,0.260751011,HAR-RV
stock 46,3,cluster 3,1.75E-07,0.000417861,0.000255348,0.071747108,HAR-RV
stock 47,3,cluster 2,1.79E-07,0.00042349,0.000307922,0.1020834,HAR-RV
stock 48,3,cluster 3,3.48E-07,0.000589963,0.000437296,0.104283179,HAR-RV
stock 5,3,cluster 2,8.69E-07,0.000932246,0.000706713,0.158395129,HAR-RV
stock 50,3,cluster 1,2.48E-07,0.000497991,0.000355935,0.05653555,HAR-RV
stock 51,3,cluster 3,7.49E-07,0.000865222,0.00043785,0.895076236,HAR-RV
stock 52,3,cluster 3,4.07E-07,0.000638286,0.00048288,0.073289292,HAR-RV
stock 53,3,cluster 3,4.23E-07,0.000650449,0.00045796,0.074594494,HAR-RV
stock 55,3,cluster 2,7.11E-07,0.000843169,0.000647993,1.451404176,HAR-RV
stock 56,3,cluster 2,5.64E-07,0.000750794,0.000565475,0.067543516,HAR-RV
stock 58,3,cluster 2,5.09E-07,0.000713725,0.000515049,0.127283398,HAR-RV
stock 59,3,cluster 3,3.79E-07,0.000615253,0.00044367,0.07255494,HAR-RV
stock 6,3,cluster 2,1.05E-06,0.001022482,0.000729775,0.063415332,HAR-RV
stock 60,3,cluster 2,4.87E-07,0.000697664,0.000531128,2.295547449,HAR-RV
stock 61,3,cluster 2,2.49E-07,0.00049871,0.000382027,0.046168019,HAR-RV
stock 62,3,cluster 3,6.83E-07,0.000826257,0.000545427,0.067726415,HAR-RV
stock 63,3,cluster 2,2.81E-07,0.000529821,0.000386117,0.074037128,HAR-RV
stock 64,3,cluster 3,2.26E-07,0.000475484,0.000306654,0.204359988,HAR-RV
stock 66,3,cluster 3,3.16E-07,0.000562181,0.00044718,0.060832448,HAR-RV
stock 67,3,cluster 2,3.61E-07,0.000600771,0.000404828,0.050024213,HAR-RV
stock 68,3,cluster 3,3.85E-07,0.000620829,0.000441811,0.072780109,HAR-RV
stock 69,3,cluster 3,2.41E-07,0.000490829,0.00034705,0.040802708,HAR-RV
stock 7,3,cluster 2,5.01E-07,0.000707625,0.000566453,0.112025394,HAR-RV
stock 70,3,cluster 2,2.66E-07,0.000515944,0.000371334,0.053266307,HAR-RV
stock 72,3,cluster 2,4.79E-07,0.00069186,0.000482344,0.073881907,HAR-RV
stock 73,3,cluster 1,4.29E-07,0.000655074,0.000473012,0.053350157,HAR-RV
stock 74,3,cluster 3,3.31E-07,0.000575069,0.000390875,1.709627659,HAR-RV
stock 75,3,cluster 1,2.29E-06,0.001514588,0.001188224,1.264852007,HAR-RV
stock 76,3,cluster 3,3.16E-07,0.000562175,0.000413707,0.051311832,HAR-RV
stock 77,3,cluster 2,8.19E-07,0.000905035,0.000538609,6.913337523,HAR-RV
stock 78,3,cluster 1,6.71E-07,0.00081943,0.000582895,0.105223024,HAR-RV
stock 8,3,cluster 2,6.55E-06,0.002558756,0.000927254,4.652577989,HAR-RV
stock 80,3,cluster 2,2.45E-06,0.001566673,0.001108612,0.263664138,HAR-RV
stock 81,3,cluster 2,4.14E-07,0.000643646,0.000514338,0.205708958,HAR-RV
stock 82,3,cluster 3,2.35E-07,0.000484779,0.000360298,0.168402268,HAR-RV
stock 83,3,cluster 2,9.15E-07,0.000956673,0.000659045,0.171202983,HAR-RV
stock 84,3,cluster 3,2.16E-07,0.00046496,0.000325483,0.042531242,HAR-RV
stock 85,3,cluster 3,2.45E-07,0.000494699,0.000324234,0.063196882,HAR-RV
stock 86,3,cluster 3,1.73E-07,0.00041552,0.000283958,0.159689022,HAR-RV
stock 87,3,cluster 1,5.34E-07,0.000730571,0.000517904,0.055073547,HAR-RV
stock 88,3,cluster 1,8.86E-07,0.000941052,0.000697657,0.087766565,HAR-RV
stock 89,3,cluster 2,2.54E-07,0.000503929,0.000378757,0.448147028,HAR-RV
stock 9,3,cluster 3,1.02E-06,0.001007534,0.000661437,3.859908273,HAR-RV
stock 90,3,cluster 2,8.21E-07,0.000906057,0.00068068,0.107928287,HAR-RV
stock 93,3,cluster 1,2.66E-07,0.000516156,0.000335205,0.1140613,HAR-RV
stock 94,3,cluster 1,3.09E-07,0.000556135,0.000386344,0.054573711,HAR-RV
stock 95,3,cluster 3,3.18E-07,0.000564211,0.000400042,0.228438452,HAR-RV
stock 96,3,cluster 2,5.38E-07,0.000733729,0.000532512,0.074348328,HAR-RV
stock 97,3,cluster 1,1.10E-06,0.001046707,0.000819435,0.118225056,HAR-RV
stock 98,3,cluster 2,1.12E-06,0.001058168,0.000774542,4.645706276,HAR-RV
stock 99,3,cluster 2,3.58E-07,0.000598126,0.00045853,2.291780386,HAR-RV
stock 0,1,cluster 1,9.53E-07,0.000746743,0.00076568,1.6751865,Linear Regression
stock 1,1,cluster 1,6.98E-07,0.000651452,0.001058197,0.099625921,Linear Regression
stock 10,1,cluster 1,3.25E-07,0.000479745,0.000315627,0.011574794,Linear Regression
stock 100,1,cluster 1,5.57E-07,0.000633897,0.000701865,0.045924294,Linear Regression
stock 101,1,cluster 1,4.91E-07,0.000565474,0.001274721,0.086638612,Linear Regression
stock 102,1,cluster 1,4.83E-07,0.000597635,0.000278992,0.029351189,Linear Regression
stock 103,1,cluster 1,3.20E-06,0.001251036,0.000687153,0.048232261,Linear Regression
stock 104,1,cluster 1,2.00E-06,0.000969594,0.001874973,0.149909117,Linear Regression
stock 105,1,cluster 1,2.83E-07,0.000421246,0.000633187,0.037614282,Linear Regression
stock 107,1,cluster 1,7.58E-07,0.000575692,0.000578028,0.069259826,Linear Regression
stock 108,1,cluster 1,4.28E-07,0.000472865,0.000412263,0.030829334,Linear Regression
stock 109,1,cluster 1,4.71E-07,0.000547123,0.000328834,0.024566949,Linear Regression
stock 11,1,cluster 1,9.71E-07,0.000750813,0.00035805,0.017099025,Linear Regression
stock 110,1,cluster 1,1.01E-06,0.000883003,0.000562259,0.068321328,Linear Regression
stock 111,1,cluster 1,4.91E-07,0.000602287,0.000769486,0.133103381,Linear Regression
stock 112,1,cluster 1,4.05E-07,0.000532157,0.00039599,0.056574765,Linear Regression
stock 113,1,cluster 1,6.85E-07,0.000723746,0.001079732,0.133207374,Linear Regression
stock 114,1,cluster 1,3.86E-07,0.000556405,0.000608348,0.043322774,Linear Regression
stock 115,1,cluster 1,5.31E-07,0.000567659,0.001427395,0.114029529,Linear Regression
stock 116,1,cluster 1,5.41E-07,0.000599418,0.000512672,0.043177762,Linear Regression
stock 118,1,cluster 1,1.22E-06,0.00089143,0.000675573,0.043236879,Linear Regression
stock 119,1,cluster 1,9.97E-07,0.000848844,0.001112361,0.070989823,Linear Regression
stock 120,1,cluster 1,2.97E-07,0.000444202,0.000506926,0.037719486,Linear Regression
stock 122,1,cluster 1,2.70E-07,0.000448287,0.000226149,0.019424548,Linear Regression
stock 123,1,cluster 1,5.62E-07,0.000521951,0.000322593,0.022458191,Linear Regression
stock 124,1,cluster 1,3.56E-07,0.000464075,0.000432725,0.035047044,Linear Regression
stock 125,1,cluster 1,4.02E-07,0.000533913,0.000498486,0.047207612,Linear Regression
stock 126,1,cluster 1,4.86E-07,0.000549976,0.000320298,0.058631121,Linear Regression
stock 13,1,cluster 1,7.01E-07,0.000569897,0.000823184,0.234204588,Linear Regression
stock 14,1,cluster 1,2.09E-07,0.000395696,0.000464268,0.022557771,Linear Regression
stock 15,1,cluster 1,3.19E-07,0.000461516,0.001204043,0.094714895,Linear Regression
stock 16,1,cluster 1,5.52E-07,0.000607517,0.000853501,0.057689509,Linear Regression
stock 17,1,cluster 1,9.93E-07,0.000783764,0.000624387,0.065055917,Linear Regression
stock 18,1,cluster 1,2.11E-06,0.001207082,0.001913388,0.729763171,Linear Regression
stock 19,1,cluster 1,2.38E-06,0.001165927,0.002771191,10.47524744,Linear Regression
stock 2,1,cluster 1,4.54E-07,0.000502206,0.001097321,0.29169443,Linear Regression
stock 20,1,cluster 1,5.22E-07,0.000545943,0.000938342,0.156010696,Linear Regression
stock 21,1,cluster 1,3.88E-07,0.000527234,0.000521067,0.03997095,Linear Regression
stock 22,1,cluster 1,6.29E-07,0.000622009,0.000234707,0.009808538,Linear Regression
stock 23,1,cluster 1,1.22E-06,0.000857791,0.000454118,0.051141881,Linear Regression
stock 26,1,cluster 1,6.69E-07,0.000623534,0.000927491,0.219013446,Linear Regression
stock 27,1,cluster 1,3.45E-06,0.001032174,0.000483287,0.049174684,Linear Regression
stock 28,1,cluster 1,1.33E-06,0.000815406,0.000881302,0.07903529,Linear Regression
stock 29,1,cluster 1,2.67E-07,0.000405532,0.000656349,0.217916041,Linear Regression
stock 3,1,cluster 1,5.60E-07,0.000620357,0.000186488,0.013924812,Linear Regression
stock 30,1,cluster 1,9.84E-07,0.000870681,0.000492188,0.052716775,Linear Regression
stock 31,1,cluster 1,0.000232908,0.003903083,0.003409971,0.182063756,Linear Regression
stock 32,1,cluster 1,6.44E-05,0.001744616,0.000607487,0.099047341,Linear Regression
stock 33,1,cluster 1,6.80E-06,0.001154439,0.000535222,0.08774155,Linear Regression
stock 34,1,cluster 1,1.24E-06,0.000846474,0.000895009,0.157149896,Linear Regression
stock 35,1,cluster 1,4.52E-07,0.000525821,0.000815087,0.098319734,Linear Regression
stock 36,1,cluster 1,6.86E-07,0.000551828,0.000496328,0.052820208,Linear Regression
stock 37,1,cluster 1,9.76E-07,0.000820963,0.000636247,0.098359334,Linear Regression
stock 38,1,cluster 1,1.14E-06,0.000898146,0.00051933,0.017727723,Linear Regression
stock 39,1,cluster 1,9.07E-07,0.000715187,0.000519533,0.054109936,Linear Regression
stock 4,1,cluster 1,4.76E-07,0.0005576,0.001404274,NA,Linear Regression
stock 40,1,cluster 1,1.41E-06,0.00096912,0.002162784,NA,Linear Regression
stock 41,1,cluster 1,1.18E-06,0.000858014,0.000646946,0.087112216,Linear Regression
stock 42,1,cluster 1,4.16E-07,0.000502901,0.000331091,0.050556165,Linear Regression
stock 43,1,cluster 1,4.51E-07,0.000518946,0.00087475,0.349398628,Linear Regression
stock 44,1,cluster 1,3.39E-07,0.000454842,0.000358216,0.042662141,Linear Regression
stock 46,1,cluster 1,6.13E-07,0.000530334,0.000426446,0.042407443,Linear Regression
stock 47,1,cluster 1,2.66E-07,0.000361592,0.000210356,0.009016649,Linear Regression
stock 48,1,cluster 1,2.03E-07,0.000384478,0.000214853,0.010709399,Linear Regression
stock 5,1,cluster 1,5.68E-07,0.000643569,0.000398594,0.043812189,Linear Regression
stock 50,1,cluster 1,7.49E-07,0.000728643,0.000482632,0.025976459,Linear Regression
stock 51,1,cluster 1,3.79E-07,0.000434746,0.000144451,0.010602968,Linear Regression
stock 52,1,cluster 1,5.67E-07,0.000550389,0.000627913,0.034468098,Linear Regression
stock 53,1,cluster 1,4.61E-07,0.000579792,0.000531981,0.041970743,Linear Regression
stock 55,1,cluster 1,4.92E-07,0.000622575,0.000708254,0.109463865,Linear Regression
stock 56,1,cluster 1,9.64E-07,0.000797852,0.000594977,0.046060703,Linear Regression
stock 58,1,cluster 1,9.15E-07,0.000745101,0.000330446,0.025638532,Linear Regression
stock 59,1,cluster 1,8.63E-07,0.000754694,0.0005954,0.109128936,Linear Regression
stock 6,1,cluster 1,8.05E-07,0.000777992,0.001805551,1.609684719,Linear Regression
stock 60,1,cluster 1,9.55E-07,0.000850144,0.001094266,0.097025061,Linear Regression
stock 61,1,cluster 1,6.52E-07,0.000580516,0.000446174,0.042310265,Linear Regression
stock 62,1,cluster 1,4.07E-07,0.000544967,0.000239937,0.015097889,Linear Regression
stock 63,1,cluster 1,4.96E-07,0.000599341,0.001089712,0.09060036,Linear Regression
stock 64,1,cluster 1,3.07E-07,0.000431885,0.000715804,0.244743305,Linear Regression
stock 66,1,cluster 1,3.17E-07,0.00045456,0.000390927,0.035065446,Linear Regression
stock 67,1,cluster 1,4.67E-07,0.000566448,0.00106666,0.152266495,Linear Regression
stock 68,1,cluster 1,5.38E-07,0.000596794,0.000604393,0.059051212,Linear Regression
stock 69,1,cluster 1,3.76E-07,0.000520747,0.000737471,0.098890058,Linear Regression
stock 7,1,cluster 1,4.87E-07,0.000565615,0.000484942,0.387765989,Linear Regression
stock 70,1,cluster 1,8.57E-07,0.00073361,0.001726999,6.108698393,Linear Regression
stock 72,1,cluster 1,4.88E-07,0.00056096,0.000367184,0.042907967,Linear Regression
stock 73,1,cluster 1,4.93E-07,0.000599572,0.000958535,0.253790278,Linear Regression
stock 74,1,cluster 1,3.25E-07,0.000483119,0.000390086,NA,Linear Regression
stock 75,1,cluster 1,1.51E-06,0.00097807,0.001789077,NA,Linear Regression
stock 76,1,cluster 1,1.61E-06,0.001004174,0.002954974,0.305220318,Linear Regression
stock 77,1,cluster 1,7.67E-07,0.000522207,0.000504167,0.040677787,Linear Regression
stock 78,1,cluster 1,6.47E-07,0.000575766,0.000423107,0.462708278,Linear Regression
stock 8,1,cluster 1,6.59E-07,0.000662284,0.000880983,5.398574237,Linear Regression
stock 80,1,cluster 1,1.79E-06,0.001034082,0.00174752,0.384118629,Linear Regression
stock 81,1,cluster 1,1.46E-06,0.000958506,0.001004014,0.136393993,Linear Regression
stock 82,1,cluster 1,3.60E-07,0.000539609,0.000901617,0.517043643,Linear Regression
stock 83,1,cluster 1,6.53E-07,0.00066401,0.000528696,0.086445521,Linear Regression
stock 84,1,cluster 1,6.84E-07,0.000623557,0.001085062,0.130612208,Linear Regression
stock 85,1,cluster 1,3.36E-07,0.000485528,0.000157881,0.016788321,Linear Regression
stock 86,1,cluster 1,5.42E-06,0.000844031,0.000348171,0.039016993,Linear Regression
stock 87,1,cluster 1,1.94E-06,0.000541943,0.000334061,0.05034185,Linear Regression
stock 88,1,cluster 1,6.17E-07,0.000696353,0.000522004,0.057595819,Linear Regression
stock 89,1,cluster 1,7.49E-07,0.000720466,0.001312181,0.08723084,Linear Regression
stock 9,1,cluster 1,9.07E-07,0.000772763,0.000412628,0.140468986,Linear Regression
stock 90,1,cluster 1,1.77E-06,0.001060275,0.000924961,NA,Linear Regression
stock 93,1,cluster 1,7.66E-07,0.000637443,0.00180634,NA,Linear Regression
stock 94,1,cluster 1,2.12E-07,0.000382998,0.000670671,0.106168895,Linear Regression
stock 95,1,cluster 1,3.40E-07,0.000484754,0.000958926,0.22329851,Linear Regression
stock 96,1,cluster 1,3.06E-07,0.0005029,0.000553745,0.053385219,Linear Regression
stock 97,1,cluster 1,8.85E-07,0.000819734,0.000459757,0.043579474,Linear Regression
stock 98,1,cluster 1,1.05E-06,0.00087946,0.001326657,0.136989985,Linear Regression
stock 99,1,cluster 1,7.15E-07,0.000693948,0.001212034,0.109248663,Linear Regression
stock 0,2,cluster 2,9.53E-07,0.000746743,0.00076568,1.6751865,Linear Regression
stock 1,2,cluster 2,6.98E-07,0.000651452,0.001058197,0.099625921,Linear Regression
stock 10,2,cluster 2,3.25E-07,0.000479745,0.000315627,0.011574794,Linear Regression
stock 100,2,cluster 1,5.57E-07,0.000633897,0.000701865,0.045924294,Linear Regression
stock 101,2,cluster 2,4.91E-07,0.000565474,0.001274721,0.086638612,Linear Regression
stock 102,2,cluster 1,4.83E-07,0.000597635,0.000278992,0.029351189,Linear Regression
stock 103,2,cluster 2,3.20E-06,0.001251036,0.000687153,0.048232261,Linear Regression
stock 104,2,cluster 2,2.00E-06,0.000969594,0.001874973,0.149909117,Linear Regression
stock 105,2,cluster 1,2.83E-07,0.000421246,0.000633187,0.037614282,Linear Regression
stock 107,2,cluster 2,7.58E-07,0.000575692,0.000578028,0.069259826,Linear Regression
stock 108,2,cluster 1,4.28E-07,0.000472865,0.000412263,0.030829334,Linear Regression
stock 109,2,cluster 2,4.71E-07,0.000547123,0.000328834,0.024566949,Linear Regression
stock 11,2,cluster 2,9.71E-07,0.000750813,0.00035805,0.017099025,Linear Regression
stock 110,2,cluster 2,1.01E-06,0.000883003,0.000562259,0.068321328,Linear Regression
stock 111,2,cluster 2,4.91E-07,0.000602287,0.000769486,0.133103381,Linear Regression
stock 112,2,cluster 2,4.05E-07,0.000532157,0.00039599,0.056574765,Linear Regression
stock 113,2,cluster 1,6.85E-07,0.000723746,0.001079732,0.133207374,Linear Regression
stock 114,2,cluster 1,3.86E-07,0.000556405,0.000608348,0.043322774,Linear Regression
stock 115,2,cluster 2,5.31E-07,0.000567659,0.001427395,0.114029529,Linear Regression
